Column1,Column2,Column3,Column4
69OcVU0fqGSBamdmnI0WdP,Chuy?n ?ôi Ta (feat. Mu?ii) [Lofi Mix],"Emcee L (Da LAB), Da LAB, Mu?ii (Starry Night)",https://open.spotify.com/track/69OcVU0fqGSBamdmnI0WdP
1GJ3suxtUVaguVQRemw6Zp,Suýt N?a Thì...,Andiez,https://open.spotify.com/track/1GJ3suxtUVaguVQRemw6Zp
5Bti0azlFhMattVY76qFr9,L? Lùng,V?.,https://open.spotify.com/track/5Bti0azlFhMattVY76qFr9
2iqjXz4lV60gf3tvI4JJzU,H?n Em ? L?n Yêu Th? 2,"Nguyenn, ??ng Tu?n V?",https://open.spotify.com/track/2iqjXz4lV60gf3tvI4JJzU
11OxuU5y7ebAJyKaY8dOl0,Lý Do Nào ?? Quay L?i V?i Nhau,"PAR SG, New$oulZ",https://open.spotify.com/track/11OxuU5y7ebAJyKaY8dOl0
2cSil3ARm5Ra9ssTkriRjD,m?t chút th?c m?c,Hawys,https://open.spotify.com/track/2cSil3ARm5Ra9ssTkriRjD
7gctHEAWZwc6ejEP9N615y,Homesick Alien - 2 5 Instrumental,ChiuLinh,https://open.spotify.com/track/7gctHEAWZwc6ejEP9N615y
5pecBfvm22kQON5STs5q45,có ai ? ?ây không? - Extended version,"14 Casper, Bon Nghiêm",https://open.spotify.com/track/5pecBfvm22kQON5STs5q45
0NH6bDp5jQkGWQFbtMaeyd,Chúng ta ?ã m?t nhau t? bao gi?,FiGDee,https://open.spotify.com/track/0NH6bDp5jQkGWQFbtMaeyd
0lFj8bk12W4JBz09s0DgfS,Em à,buitruonglinh,https://open.spotify.com/track/0lFj8bk12W4JBz09s0DgfS
3AejRjgBsFV4HWHjJmmEP7,l?i t?m bi?t ch?a nói,"GREY D, Orange, Kai ?inh",https://open.spotify.com/track/3AejRjgBsFV4HWHjJmmEP7
7FH0RJ69XhoKfLjVQE4671,co mot hom troi do mua,Chí,https://open.spotify.com/track/7FH0RJ69XhoKfLjVQE4671
087sqrtgyTycoqUV4LzgHe,Imagination,"Shiloh Dynasty, timmies",https://open.spotify.com/track/087sqrtgyTycoqUV4LzgHe
3npm1QjXITFdInbKWHXmHZ,2412,AnhVu,https://open.spotify.com/track/3npm1QjXITFdInbKWHXmHZ
5hzjqKMQPampmtM6eObybz,?i?u Ch?a Nói,"Tùa, CM1X",https://open.spotify.com/track/5hzjqKMQPampmtM6eObybz
2uZmeuNAxSm7XfVIwLkhCx,nh?n nh?,Ronboogz,https://open.spotify.com/track/2uZmeuNAxSm7XfVIwLkhCx
20jc2qrUesWnyDYnWq0XW8,N?u Ngày ?y,SOOBIN,https://open.spotify.com/track/20jc2qrUesWnyDYnWq0XW8
2bdFN2I6zEUsjjqSV3t4kI,Nop,ChenYueLong,https://open.spotify.com/track/2bdFN2I6zEUsjjqSV3t4kI
65fBhZefePOKwK7U4pQAGD,No Surprises,Orla Donoghue,https://open.spotify.com/track/65fBhZefePOKwK7U4pQAGD
